,Operación,Provincia,Superficie
0,Alquiler,Lleida,291
1,Venta,Girona,199
2,Alquiler,Girona,82
3,Alquiler,Girona,285
4,Venta,Tarragona,152
5,Alquiler,Girona,131
6,Alquiler,Tarragona,69
7,Venta,Girona,235
8,Alquiler,Lleida,108
9,Venta,Lleida,299
10,Alquiler,Girona,124
11,Venta,Girona,187
12,Venta,Barcelona,300
13,Venta,Tarragona,68
14,Alquiler,Girona,176
15,Alquiler,Girona,179
16,Alquiler,Tarragona,58
17,Venta,Barcelona,283
18,Alquiler,Girona,55
19,Alquiler,Barcelona,148
20,Venta,Barcelona,228
21,Alquiler,Lleida,116
22,Alquiler,Girona,183
23,Alquiler,Tarragona,79
24,Alquiler,Barcelona,124
25,Alquiler,Tarragona,70
26,Alquiler,Tarragona,70
27,Alquiler,Barcelona,187
28,Alquiler,Tarragona,91
29,Alquiler,Tarragona,201
30,Alquiler,Barcelona,142
31,Alquiler,Girona,92
32,Alquiler,Barcelona,181
33,Venta,Barcelona,281
34,Alquiler,Tarragona,257
35,Alquiler,Tarragona,140
36,Venta,Girona,229
37,Alquiler,Tarragona,300
38,Alquiler,Tarragona,215
39,Venta,Girona,182
40,Venta,Barcelona,230
41,Venta,Tarragona,168
42,Alquiler,Girona,74
43,Venta,Girona,278
44,Alquiler,Barcelona,287
45,Alquiler,Lleida,224
46,Alquiler,Barcelona,53
47,Venta,Barcelona,284
48,Venta,Girona,40
49,Alquiler,Tarragona,235
50,Venta,Lleida,90
51,Alquiler,Lleida,206
52,Alquiler,Tarragona,158
53,Alquiler,Barcelona,71
54,Venta,Girona,127
55,Venta,Lleida,54
56,Alquiler,Lleida,54
57,Alquiler,Girona,274
58,Venta,Tarragona,166
59,Alquiler,Lleida,270
60,Venta,Tarragona,120
61,Venta,Tarragona,178
62,Venta,Barcelona,144
63,Venta,Lleida,57
64,Venta,Tarragona,144
65,Venta,Lleida,272
66,Alquiler,Barcelona,219
67,Alquiler,Barcelona,68
68,Venta,Girona,248
69,Alquiler,Tarragona,179
70,Venta,Girona,235
71,Venta,Tarragona,216
72,Alquiler,Barcelona,62
73,Venta,Girona,229
74,Venta,Tarragona,41
75,Alquiler,Tarragona,234
76,Alquiler,Tarragona,112
77,Venta,Lleida,87
78,Venta,Barcelona,298
79,Alquiler,Barcelona,217
80,Alquiler,Barcelona,236
81,Venta,Girona,117
82,Venta,Lleida,56
83,Venta,Barcelona,94
84,Alquiler,Barcelona,127
85,Venta,Girona,275
86,Alquiler,Barcelona,93
87,Alquiler,Tarragona,58
88,Alquiler,Barcelona,49
89,Venta,Girona,292
90,Alquiler,Barcelona,123
91,Alquiler,Barcelona,48
92,Alquiler,Tarragona,132
93,Alquiler,Barcelona,177
94,Venta,Barcelona,68
95,Alquiler,Tarragona,103
96,Venta,Tarragona,96
97,Venta,Lleida,227
98,Alquiler,Girona,251
99,Alquiler,Tarragona,125
100,Alquiler,Girona,162
101,Venta,Barcelona,45
102,Alquiler,Girona,258
103,Venta,Tarragona,104
104,Alquiler,Girona,238
105,Alquiler,Lleida,300
106,Alquiler,Girona,222
107,Alquiler,Tarragona,187
108,Alquiler,Barcelona,300
109,Venta,Barcelona,206
110,Alquiler,Tarragona,162
111,Alquiler,Lleida,160
112,Alquiler,Barcelona,89
113,Venta,Girona,103
114,Venta,Tarragona,54
115,Venta,Girona,103
116,Venta,Girona,274
117,Venta,Girona,253
118,Venta,Lleida,51
119,Venta,Tarragona,174
120,Venta,Barcelona,152
121,Alquiler,Barcelona,270
122,Alquiler,Girona,179
123,Alquiler,Tarragona,212
124,Venta,Girona,118
125,Venta,Tarragona,194
126,Venta,Barcelona,139
127,Venta,Tarragona,130
128,Alquiler,Lleida,206
129,Venta,Tarragona,216
130,Venta,Lleida,55
131,Venta,Tarragona,190
132,Alquiler,Tarragona,62
133,Alquiler,Tarragona,275
134,Venta,Lleida,45
135,Alquiler,Lleida,105
136,Venta,Barcelona,119
137,Venta,Girona,88
138,Alquiler,Tarragona,63
139,Venta,Barcelona,222
140,Venta,Barcelona,47
141,Venta,Tarragona,123
142,Alquiler,Tarragona,134
143,Alquiler,Barcelona,121
144,Venta,Girona,50
145,Venta,Girona,274
146,Alquiler,Barcelona,76
147,Venta,Barcelona,109
148,Venta,Lleida,249
149,Alquiler,Lleida,212
150,Alquiler,Lleida,128
151,Venta,Tarragona,172
152,Venta,Lleida,68
