Tipo,Precio Venta
Local,1945424
Local,664700
Local,549780
Local,659330
Local,939072
Local,1504110
Local,1160572
Local,321680
Local,957625
Local,1605564
Local,983234
Local,2287626
Local,376992
Local,2212408
Local,925322
Local,219716
Local,663816
Local,531375
Local,438435
Local,1064800
Local,1461356
Local,477345
Local,229455
Local,533925
Local,779241
Local,563178
Local,1161090
Local,416936
Local,513300
Local,1323054
Local,1446522
Local,919030
Local,553616
Local,986895
Local,902798
Local,692180
Local,2002392
Local,420660
Local,1133132
Local,2010619
Local,665951
Local,1362348
Local,2038660
Local,1870546
Local,1431076
Local,1936102
Local,424536
Local,1093281
Local,1079449
Local,391391
Local,877680
Local,1394461
Local,1992228
Local,1320676
Local,896220
Local,1505925
Local,1257036
Local,673355
Local,1398630
Local,2586704
Local,946792
Local,1804992
Local,742770
Local,1268952
Local,1090180
Local,1898628
Local,189156
Local,1159470
Local,788948
Local,242704
Local,520758
Local,870105
Local,1298328
Local,2297538
Local,446856
Local,999726
Local,1031121
Local,419348
Local,1403988
Local,804625
Local,1590104
Local,1881950
Local,469910
Local,639999
Local,700398
Local,1897155
Local,251430
Local,1767744
Local,469168
Local,738568
Local,704323
Local,1058545
Local,1992320
Local,577656
Local,981651
Local,1730550
Local,463843
Local,2057832
Local,1520627
Local,1225926
Local,1524585
Local,1570016
Local,1251315
Local,457498
Local,542864
Local,679554
Local,1509872
Local,399655
Local,411700
Local,2354481
Local,2332152
Local,1606500
Local,1554732
Local,1877760
Local,1607280
Local,653250
Local,1323198
Local,1115409
Local,866880
Local,1218888
Local,1409551
Local,1021334
Local,1029178
Local,593021
Local,631560
Local,970420
Local,315810
Local,479892
Local,1036665
Local,410260
Local,1604687
Local,766774
Local,1071667
Local,1593720
Local,769824
Local,1236560
Local,2273762
Local,1346961
Local,2101743
Local,1368750
Local,1508472
Local,1360064
Local,1636560
Local,1315440
Local,1732302
Local,1250408
Local,1065744
Local,1911604
Local,2279354
Local,1816793
Local,1772700
Local,539392
Local,932250
Local,924990
Local,493632
Local,1912482
Local,1707660
Local,879254
Local,1308398
Local,1966272
Local,1614170
Local,698301
Local,744480
Local,463306
Local,484592
Local,474600
Local,2105079
Local,935694
Local,2032295
Local,949578
Local,848888
Local,630608
Local,730350
Local,812660
Local,480318
Local,1702590
Local,1205864
Local,2478566
Local,2396835
Local,954930
Local,493971
Local,1007688
Local,333650
Local,950015
Local,1827420
Local,2474494
Local,1179612
Local,1287210
Local,1923264
Local,1623217
Local,1453428
Local,1583785
Local,1046800
Local,563085
Local,1344933
Local,1121906
Local,1456999
Local,999950
Local,1454232
Local,2283372
Local,2325766
Local,540452
Local,1742293
Local,1045816
Local,1582845
Local,583638
Local,1716300
Local,1271388
Local,1723040
Local,2170945
Local,568880
Local,756355
Local,563255
Local,990360
Local,1209216
Local,1900200
Local,2384954
Local,2888325
Local,906780
Local,375232
Local,843106
Local,1499889
Local,391950
Local,1826825
Local,1429020
Local,2074000
Local,1424436
Local,1911424
Local,1668526
Local,943805
Local,838292
Local,598705
Local,474084
Local,683844
Local,678132
Local,1779825
Local,446313
Local,1512738
Local,1929228
Local,2184364
Local,804540
Local,970314
Local,1522998
Local,1244056
Local,735945
Local,1382707
Local,2010312
Local,346192
Local,686232
Local,2063460
Local,2136184
Local,1687604
Local,452417
Local,1597360
Local,2394204
Local,1370998
Local,974610
Local,2216214
Local,499735
Local,1116587
Local,756900
Local,416430
Local,914641
Local,426010
Local,795696
Local,783860
Local,1527120
Local,1545720
Local,270996
Local,1732446
Local,1393095
Local,1395387
Local,2671748
Local,425565
Local,2110342
Local,2263626
Local,2303928
Local,763233
Local,1499678
Local,680760
Local,1176209
Local,700700
Local,2107784
Local,1102280
Local,466722
Local,1461570
Local,2494410
Local,1355365
Local,500610
Local,1428480
Local,272880
Local,831316
Local,1469460
Local,1247760
Local,1489911
Local,550816
Local,1204200
Local,303365
Local,262185
Local,770968
Local,1647409
Local,1109262
Local,704770
Local,1706400
Local,1095146
Local,1351196
Local,703950
Local,1177722
Local,1205347
Local,948832
Local,776442
Local,1501650
Local,926350
Local,433370
Local,780516
Local,828138
Local,1425690
Local,779220
Local,1405404
Local,2598516
Local,412272
Local,1058628
Local,1276600
Local,1772840
Local,1826938
Local,958151
Local,1690164
Local,2136182
Local,1794807
Local,2047761
Local,1548800
Local,686826
Local,1538256
Local,2281250
Local,1602930
Local,2144448
Local,560170
Local,1802993
Local,1113016
Local,1699168
Local,786320
Local,328720
Local,1438226
Local,1199394
Local,1397060
Local,1342278
Local,1368480
Local,872280
Local,936187
Local,1443750
Local,2090340
Local,1027180
Local,2030805
Local,2162160
Local,620218
Local,546440
Local,766320
Local,845370
Local,390400
Local,1632930
Local,867783
Local,1232927
Local,596778
Local,1772540
Local,957264
Local,954249
Local,996096
Local,1096452
Local,2399312
Local,403770
Local,1176480
Local,2326346
Local,2076480
Local,1580790
Local,1967242
Local,2242839
Local,1819875
Local,372672
Local,1484544
Local,985883
Local,1770503
Local,2327080
Local,1345213
Local,1923558
Local,839630
Local,1405465
